star_rating,review_body,vine,helpful_votes
1,3 of the buttons stopped working after a month of using it. It was used twice a day. Do not recommend it. go use your money for something more durable. Oh and also big plates do not fit in it.,N,0
5,Didn't use it long so I can't attest to that but for the price it is extremely good looking and feels like a quality build. Just know it's small - you will not be nuking turkeys in this - and it's not super high wattage so it may take a bit longer. So if you must have your canned soup in 2-1/2 minutes and not 3 then this won't work.,N,0
4,"Very nice microwave, great price",N,0
3,"Quiet, but does not seem like 1000 watt power.",N,0
4,It's bigger than I thought.,N,0
5,Really love this microwave. Has the one touch settings that I wanted along with the +30 seconds button.  Its a great size for a countertop.  It can be a little noisy when it beeps as others have said.,N,0
4,Was pleased with the packaging and easy instructions to set it up. Worth $55 and that it was 'Prime&#34; order.,N,0
5,Neat little unit. I have no complaints.,N,0
2,"The finish is nice and matches our stainless steel/black wall oven nicely. However, the button to open the door no longer opens on the first try or needs some help. And occasionally something internal to the microwave makes a noise when the tray is rotating.",N,1
5,"Excellent small microwave!  I recently moved to an apartment which did not have a built-in microwave, but also a kitchen that wasn't that big.  This microwave was perfect for it.  Its footprint is small, however it packs a punch.  All my plates fit it and cooks everything evenly.  The only downside is that when opening or closing the door, the whole microwave sometimes may move as it's not the heaviest out there, but I'm not going to fault it for that, I just simply put my other hand on top of it while opening/closing.",N,0
4,Works Really Well,N,0
5,Love this microwave!  Gives me more space in my kitchen. ..only con is the price.,N,1
3,I never used this for my wife insisted we buy a new microwave after I bought this. I did contact GE and they gave me a 20$ credit  and said not to worry about  paint peeling off. Tell that to your wife! That was OK because I read some reviews which made it sound alittle difficult to use.,N,0
5,"Had this for about a week and so far it's been great; the microwaving powder is quite strong; but the grill plate is too high for some bulkier food, that would be my only complain.",N,1
1,the microwave turntable and light would come by itself and sometimes when you closed the door.  At first we were able to cook with the microwave but eventually it got to where I couldn't get it to cook no matter what we tried such as unplugging it and it would sit there rotating but not heating.  So sadly we had to send it back.  I only got to use the grill feature once and it was fun.,N,5
5,"This is a funny story....years ago my husband found one of these cube microwaves at a garage sale for $25.00!  It was perfect for our daughter as she has an extremely SMALL kitchen with very little counter space etc.  Recently I moved to a older home, new home to me with lots of charm and very little counter space. No room for an over the range microwave. My new little Whirlpool Cube fits perfectly into the corner space of my new little kitchen!  Love it, Love it, Love it....however $25.00 would have been an easier price on the pocket book! LOL",N,1
4,"Good price, has continued to work very well since December 2014 (8 months). My only recent complaint is that the glass carousel no longer seems to fit tightly over the plastic gear in the center. It therefore makes a rattling sound as the gear turns. I don't see what could cause the loose fit. Nevertheless, the carousel does turn, just not very quietly.<br /><br />Otherwise, great buy. It is still easy to clean. I love using the 1, 2 and 3 settings for one-touch cooking times of 1, 2 or 3 minutes. I really like being able to turn the microwave on for 30 seconds by simply touching &#34;Start&#34; one time. Some people have complained that the door is hard to open so that when the large &#34;open&#34; button is pushed, the entire microwave moves, but I have not had that experience. I seldom use the programmed settings for vegetables, popcorn, potato, etc. I had a bad experience burning a minibag of popcorn - the microwave didn't sense a need to stop cooking. However, it's fine for baking a potato.<br /><br />I do not understand the benefit of the rather extreme concave back to the interior, which contributes to the 1.4 cu ft interior volume. But the size is right for me regardless. Certainly this was the best buy on Amazon for my purposes.",N,0
4,"Although it slides when you open the door, this is a great product. The size is perfect and it works great.<br /><br />Because of how my kitchen is designed, I cant push my microwave against the wall.  If you can, then your microwave will not slide.",N,0
4,Solid microwave for a good price.,N,0
5,"Prompt delivery, my microwave is back up and running.",N,0
5,very attractive and useful mircorwave,N,0
5,Although only .5 it holds a nice size dish.  I love that the controls are at the bottom. Counter space is limited so this is peer.  Would be great in a dorm room too,N,0
3,"Unit is lighter than expected. Cooks as expected. Door latch is hard to push, but not hard enough to move unit while opening. Light comes on as unit runs, not as door opens. Buttons are convenient for cooking, but read directions, some difference to set power levels, than other microwaves I have owned. Went with this unit, due to reviews, size and price.",N,1
5,Extremly satisfied,N,1
5,Worked well on an old Sharp Carousel II Microwave. 1 can was enough for 2 coats. First make sure you sand down and prime any rust spots so they won't show through.,N,0
5,Great purchase.  The microwave does the job and was a great price.,N,0
5,excellent results,N,0
5,"Works great, product was as describer and delivered promptly and on time.",N,0
5,Perfect for semi truck at 750 watts can run on1000 watt inverter,N,2
4,"I just received mine and, when it's running, you can see the interior light shinning through a gap on the top corner. Not sure if this is normal or safe, so I've submitted a question about it. For now, I'll give it a 3 star review for looks and the slightly annoying BANG! the door makes when it closes, pending any heating and an answer to my question. I'll update then. I'm attaching pictures of the gap.<br /><br />UPDATE (9/26/2015): Well, the gap doesn't seem to be a normal feature, but it doesn't seem to affect the operation of the microwave oven in any way. I mostly use it for heating up leftovers and it works great for that purpose, have not tried it for any serious cooking. The loud door is far more tolerable now after a few uses, barely noticeable. Updating my review to 4 stars, won't do five only because of that gap.",N,47
5,Works well with proper preparation.,N,0
4,We ordered it for a boat that we are rebuilding not real sure how its going to work yet. But it fits where we wanted it just perfect and we like the looks. That is about all I can tell you at the present time.  Terry,N,0
4,Needed one in a hurry and my teen bought this. It's pretty powerful. It looks as if there are many brands that are actually this same machine.,N,0
5,What a great unit!  Took some fiddling to install but the unit itself is really very nice.,N,0
5,"I had found a small blue cube micro wave some years ago.  After 16 years of service it finally wore out.  I love the cube shape and took a risk on ordering this little gem.  I couldn't be happier.  It is the great same size, the outside is fabulous and it has more power than the last microwave. Would not hesitate to purchase this again! Totally worth the price.",N,3
5,Love LG products. Got product in a timely manner.,N,0
